id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1603179401939591168,1602871449747828736,2022-12-15 07:05:29 SE Asia Standard Time,2022-12-15,07:05:29,+0700,1379264347604615169,everysoundnath,nath,,"@jwonw88 terpantau km sukanya yg manis2 ya wkwk, duh kue bugis juga enakk lg:(",in,[],[],[],0,0,0,[],[],https://twitter.com/everysoundnath/status/1603179401939591168,False,,0,,,,,,,,"[{'screen_name': 'jwonw88', 'name': 'ᴱᵏᵃᵃ🍒, ia', 'id': '1347100302973964293'}]",,,,
1603179281924120578,1603179281924120578,2022-12-15 07:05:01 SE Asia Standard Time,2022-12-15,07:05:01,+0700,276918249,kue_fps,くえ,,今作のポケモン、最終戦BGMめっちゃいいなって思ったら推定だけど作曲者見て納得した,ja,[],[],[],0,0,0,[],[],https://twitter.com/kue_fps/status/1603179281924120578,False,,0,,,,,,,,[],,,,
1603179266895511552,1602887665971769344,2022-12-15 07:04:57 SE Asia Standard Time,2022-12-15,07:04:57,+0700,614964854,attarsyahhh_,ryuji,,@FOODFESS2 Hidup 24 tahun di dunia dan baru tau namanya kue gabin 💀,in,[],[],[],0,0,0,[],[],https://twitter.com/attarsyahhh_/status/1603179266895511552,False,,0,,,,,,,,"[{'screen_name': 'FOODFESS2', 'name': 'FESS', 'id': '939277717966544896'}]",,,,
1603179252161314817,1603071069245427712,2022-12-15 07:04:54 SE Asia Standard Time,2022-12-15,07:04:54,+0700,1272408162738397190,kuekacanc,Aku Siluman✨,,@lilcharmingrl @ubsansfess Udah aku open,in,[],[],[],0,0,0,[],[],https://twitter.com/KueKacanc/status/1603179252161314817,False,,0,,,,,,,,"[{'screen_name': 'lilcharmingrl', 'name': 'cho', 'id': '1511462933020110851'}, {'screen_name': 'ubsansfess', 'name': 'ON | DILARANG JUALAN', 'id': '1165538036366446592'}]",,,,
1603179241054822401,1603179241054822401,2022-12-15 07:04:51 SE Asia Standard Time,2022-12-15,07:04:51,+0700,1504401784240242689,moonyman_kue,ｵｼﾘ,,シヴァドラ出来た😁  https://t.co/aa3PeYkSwE,ja,[],[],['https://pbs.twimg.com/media/Fj-i9_1aUAAsnh-.jpg'],0,0,2,[],[],https://twitter.com/moonyman_kue/status/1603179241054822401,False,,1,https://pbs.twimg.com/media/Fj-i9_1aUAAsnh-.jpg,,,,,,,[],,,,
1603179083004751872,1603176837839867904,2022-12-15 07:04:13 SE Asia Standard Time,2022-12-15,07:04:13,+0700,1596543298776154113,_qslx6,Rαkü【Jax】自発行く！,,@_ikr_o うみゃい,ja,[],[],[],0,0,0,[],[],https://twitter.com/_qslx6/status/1603179083004751872,False,,0,,,,,,,,"[{'screen_name': '_ikr_o', 'name': '👾', 'id': '1602910356317171714'}]",,,,
1603179056866144256,1603171277749260288,2022-12-15 07:04:07 SE Asia Standard Time,2022-12-15,07:04:07,+0700,1504401784240242689,moonyman_kue,ｵｼﾘ,,@sawaxxxluv イクゥって言え😠,ja,[],[],[],0,0,0,[],[],https://twitter.com/moonyman_kue/status/1603179056866144256,False,,0,,,,,,,,"[{'screen_name': 'sawaxxxluv', 'name': 'lil ゆ', 'id': '1501436615188971520'}]",,,,
1603178757631578113,1603037527190818817,2022-12-15 07:02:56 SE Asia Standard Time,2022-12-15,07:02:56,+0700,1504842869240082433,rickyirawan013,Sagit,,@kopidansenjaa Kue kutu,in,[],[],[],0,0,0,[],[],https://twitter.com/rickyirawan013/status/1603178757631578113,False,,0,,,,,,,,"[{'screen_name': 'kopidansenjaa', 'name': 'Senja', 'id': '886804420066918401'}]",,,,
1603178733887635456,1603178733887635456,2022-12-15 07:02:50 SE Asia Standard Time,2022-12-15,07:02:50,+0700,134032585,tipsrumah,Tipsrumah.com,,Baking Soda adalah bahan pengembang kue yang selalu ada di lemari dapur saya. Selain #TipsRumahcom #TipsRumah  https://t.co/u3J269rJSJ,in,[],['https://bit.ly/3XqhAzf'],[],0,0,0,"['tipsrumahcom', 'tipsrumah']",[],https://twitter.com/tipsrumah/status/1603178733887635456,False,,0,,,,,,,,[],,,,
1603178731316858880,1602953622144237569,2022-12-15 07:02:49 SE Asia Standard Time,2022-12-15,07:02:49,+0700,1341585670385532929,moonjuuichi,ɴɪᴅᴀ,,@loverlessdoll @kochengfs Oyen be like 'kue ku ga ada lilinnya ajg',in,[],[],[],0,0,0,[],[],https://twitter.com/moonjuuichi/status/1603178731316858880,False,,0,,,,,,,,"[{'screen_name': 'loverlessdoll', 'name': 'ً', 'id': '2258128615'}, {'screen_name': 'kochengfs', 'name': '🐈', 'id': '243647729'}]",,,,
1603178710181769216,1603045591482654720,2022-12-15 07:02:44 SE Asia Standard Time,2022-12-15,07:02:44,+0700,1195184900950773761,okome_mdg,おこめ,,@kue_bousyoku 最後のうっまい！！,ja,[],[],[],0,0,0,[],[],https://twitter.com/okome_mdg/status/1603178710181769216,False,,0,,,,,,,,"[{'screen_name': 'kue_bousyoku', 'name': 'だごちゃん※たべる。', 'id': '1528581384289153024'}]",,,,
1603178610243739648,1603178610243739648,2022-12-15 07:02:20 SE Asia Standard Time,2022-12-15,07:02:20,+0700,1532485793142685696,okazu_kue,和,,"#PS5Share, #原神 ほたるんwwwwww  https://t.co/qCiBgDKJOt",ja,[],[],['https://pbs.twimg.com/media/Fj-icvMVsAAvw6C.jpg'],0,0,0,"['ps5share', '原神']",[],https://twitter.com/Okazu_kue/status/1603178610243739648,False,,1,https://pbs.twimg.com/media/Fj-icvMVsAAvw6C.jpg,,,,,,,[],,,,
1603178519038554114,1603178519038554114,2022-12-15 07:01:59 SE Asia Standard Time,2022-12-15,07:01:59,+0700,3179247534,kue773971341,くぇ,,スマホRPGは今これをやってるよ。今のジョブはこれ！  https://t.co/dEKnPUjxdT,ja,[],[],['https://pbs.twimg.com/media/Fj-iXhvVIAAuZGB.jpg'],0,0,0,[],[],https://twitter.com/kue773971341/status/1603178519038554114,False,,1,https://pbs.twimg.com/media/Fj-iXhvVIAAuZGB.jpg,,,,,,,[],,,,
1603178374775513088,1602857292415881216,2022-12-15 07:01:24 SE Asia Standard Time,2022-12-15,07:01:24,+0700,1221016763665510400,dyahlipa,Siti Badyah,,@crevicedwelling Kue pukis 🤤🤤,et,[],[],[],0,0,0,[],[],https://twitter.com/DyahLipa/status/1603178374775513088,False,,0,,,,,,,,"[{'screen_name': 'crevicedwelling', 'name': 'invertebrate', 'id': '1226251714266902529'}]",,,,
1603178103752519680,1603178103752519680,2022-12-15 07:00:20 SE Asia Standard Time,2022-12-15,07:00:20,+0700,1158215562712866817,redvelcake_,Schokolade🍫check pin dong 📌,,Rekomendasi Premium Cookies bisa buat ngasih gift Natal nih ✨😍  Shopee: 1. Sagu keju:  https://t.co/qBcWCfsXHh  2. Kue kacang mete:  https://t.co/TGpDbAIVKE  3. Kastengel:  https://t.co/6ZThBQLHNv  4. Gift box:  https://t.co/47GbNQfnXz  https://t.co/nWrnXaoLw3,in,[],"['https://shope.ee/89wquqg48G', 'https://shope.ee/20MDZaoFoP', 'https://shope.ee/3fURYhp11c', 'https://shope.ee/9zOV6MMrEP']","['https://pbs.twimg.com/media/Fj-h-bmaEAEPHkn.jpg', 'https://pbs.twimg.com/media/Fj-h-lwaAAAkk5D.jpg', 'https://pbs.twimg.com/media/Fj-h-6-aYAEbgqD.jpg', 'https://pbs.twimg.com/media/Fj-h_TIakAE7JA3.jpg']",0,0,0,[],[],https://twitter.com/Redvelcake_/status/1603178103752519680,False,,1,https://pbs.twimg.com/media/Fj-h-bmaEAEPHkn.jpg,,,,,,,[],,,,
1603178017073029120,1602552493719724032,2022-12-15 06:59:59 SE Asia Standard Time,2022-12-15,06:59:59,+0700,1273805742210904064,gtawdah,gatau deh,,@aknsmphyyyy @FOOD_FESS kalo yg buat kue gini strawberrynya kecut/manis?,in,[],[],[],0,0,0,[],[],https://twitter.com/gtawdah/status/1603178017073029120,False,,0,,,,,,,,"[{'screen_name': 'aknsmphyyyy', 'name': 'y', 'id': '1216663889384861696'}, {'screen_name': 'FOOD_FESS', 'name': 'GUIS', 'id': '619030243'}]",,,,
1603177899850231808,1603176534776635392,2022-12-15 06:59:31 SE Asia Standard Time,2022-12-15,06:59:31,+0700,895184669750296576,xbluemonstaaa,sya,,@ssombleu Emang dasar pengembangan kue tu suka bikin spaneng,in,[],[],[],1,0,0,[],[],https://twitter.com/xbluemonstaaa/status/1603177899850231808,False,,0,,,,,,,,"[{'screen_name': 'ssombleu', 'name': 'a.', 'id': '1329737032474640392'}]",,,,
